RAJ2000,DEJ2000,Flux1000
17.8655,5.5708,1.6129449E-10
17.8773,-25.7949,1.4422938E-10
18.0297,-3.3413,2.3101329E-10
18.0302,22.7499,7.937464E-09
18.136,-66.5625,1.5775406E-10
18.2008,-75.1108,3.3312061E-10
18.2242,32.1381,2.4508908E-09
18.2918,-35.9013,2.6962568E-10
18.3762,49.8041,1.0231394E-09
18.4283,2.4143,2.019801E-10
18.5324,64.2993,4.4214576E-10
18.7122,13.4311,1.2167729E-09
18.7382,-34.0049,1.07086534E-10
18.789,26.3807,1.9849794E-10
18.7898,-1.519,2.0197022E-10
18.8604,-29.297,1.0403887E-10
18.9156,3.9441,1.2287931E-09
18.9522,25.3324,1.153341E-09
19.003,-27.7653,1.3233202E-10
19.0051,-11.6016,9.410667E-10
19.0565,69.2493,2.3665367E-10
19.0596,-61.8953,2.5673086E-10
19.1423,-30.8059,1.0718639E-10
19.1439,-28.222,1.3231129E-10
19.3435,59.3687,2.4543945E-10
19.3948,-24.7141,8.39686E-11
19.4505,-21.1521,8.657711E-10
19.5633,-60.1116,9.8531176E-11
19.7298,-21.6903,3.2668346E-09
19.7646,-14.9782,2.594884E-10
19.8297,-53.9189,1.5217257E-10
19.9268,42.0026,1.4514985E-10
20.0485,5.1109,1.3930081E-10
20.1231,-27.0236,3.6038255E-09
20.4273,51.9113,1.7405066E-10
20.4669,-39.2738,2.291023E-10
20.5446,-30.0768,5.5081523E-11
20.7896,34.3512,2.2446613E-10
20.9347,-23.1885,5.598475E-10
21.0213,61.7009,4.760267E-10
21.2312,-6.4436,2.5762126E-10
21.3409,-25.8079,5.636547E-10
21.49,-63.0589,1.3396789E-10
21.5592,-22.3758,4.152467E-10
21.5854,-67.7773,5.1569547E-11
21.6863,-0.0624,1.0104039E-10
21.7219,24.1814,2.199445E-10
21.7781,33.1724,1.5349508E-10
21.8058,-8.3321,6.631479E-10
21.8234,3.4116,6.140307E-10
21.8426,-48.2336,1.737382E-10
21.9541,48.9211,2.943601E-10
22.0476,44.0694,1.52177E-10
22.082,57.1665,3.0740824E-10
22.1388,44.6661,1.482923E-10
22.1676,62.8617,7.6307893E-10
22.3654,14.6962,2.2102566E-10
22.4468,34.6067,2.2358197E-10
22.631,-21.5113,1.4869363E-10
22.6786,18.7562,1.6900298E-10
22.793,61.3395,1.5558272E-09
22.8255,55.7788,5.567548E-10
22.9451,-53.7737,1.7795497E-10
23.0179,-9.9514,1.6418993E-10
23.1763,-16.9081,1.7357846E-09
23.1805,-8.0789,2.4262686E-10
23.1812,43.3969,2.3160045E-10
23.2167,-44.2221,3.1770336E-10
23.2987,-52.0196,6.821555E-10
23.3109,-45.5554,6.102932E-11
23.5249,30.6164,1.1653349E-10
23.5903,-38.7042,1.6876861E-10
23.624,26.6247,8.733806E-10
23.7474,53.6116,1.8025002E-10
23.7782,2.9184,1.0580022E-10
24.1425,39.0999,4.6597526E-09
24.2607,47.8637,4.7230624E-09
24.415,-24.5221,1.1798359E-09
24.4948,58.2472,1.3868172E-09
24.5033,22.7981,3.9951586E-10
24.6444,-46.2132,2.9098848E-10
24.6524,68.3576,2.8249986E-10
24.7664,26.0303,1.9073862E-10
24.8926,-22.4553,2.6256677E-10
25.0005,87.6128,1.4677956E-10
25.0852,70.9071,2.0333171E-10
25.1607,-47.5063,1.0330724E-10
25.164,-7.9695,1.5543829E-10
25.363,-9.4815,1.817033E-09
25.6786,-5.7339,1.6888917E-10
25.7544,-36.3499,1.7759065E-10
25.8683,-31.9525,1.0327765E-10
25.9477,-58.7714,1.1726705E-09
25.9838,49.7624,1.4867145E-10
26.1477,27.0914,5.7372613E-09
26.2576,-27.5443,7.705082E-10
26.5052,-67.7683,4.0629808E-10
26.5689,46.1121,2.0826348E-10
26.7382,-52.0415,3.4422684E-10
26.8931,-13.3624,1.077791E-10
27.0595,52.0233,5.275449E-10
27.1559,1.4633,2.4511823E-10
27.5958,48.8355,2.3578248E-10
27.6431,-54.7995,1.628214E-10
27.774,5.654,2.1620845E-10
27.8926,86.0181,2.7666566E-10
27.8947,-36.0959,2.0024495E-10
28.0043,54.9136,2.696535E-10
28.0731,37.2479,2.3733113E-10
28.0763,22.1168,3.439826E-10
28.1639,1.7893,8.8390406E-10
28.2233,75.2883,3.6346184E-10
28.3022,-51.1194,1.0964757E-10
28.3251,54.2767,1.6618713E-10
28.3782,71.2446,3.2119823E-10
28.4964,8.395,1.6103889E-09
28.544,-2.6031,1.8562792E-10
28.7636,44.5644,4.6199525E-10
29.0725,-24.3412,2.2808506E-10
29.1324,39.2446,5.429015E-10
29.2253,-47.735,2.2618994E-10
29.2346,-53.029,5.5721594E-10
29.2465,46.8076,1.7996055E-10
29.4405,-46.2291,6.021208E-10
29.6522,-39.5384,7.642312E-10
29.7132,1.025,2.1297009E-10
29.7667,33.2167,2.0431598E-10
29.8776,10.7742,8.763252E-10
29.9005,12.9522,1.5133235E-10
29.9405,-27.6622,4.4116005E-10
30.0564,-41.1602,2.726133E-10
30.2163,-66.6265,3.1821185E-10
30.2767,-43.8019,6.232116E-11
30.2817,0.5906,1.01334885E-10
30.585,11.808,1.677622E-10
30.6187,8.8391,1.6729333E-10
30.6239,29.7299,1.9172017E-10
30.6522,-2.9646,2.2231622E-10
30.6875,42.0433,2.443926E-10
30.7536,-2.4345,1.8392202E-10
30.8911,72.5504,6.0639227E-10
30.9352,30.7134,2.2237527E-09
31.018,-33.5576,1.284714E-10
31.0943,-31.6596,1.2156874E-10
31.0981,24.2814,1.5330702E-10
31.1657,66.9213,4.2584455E-10
31.2195,15.2313,6.3835776E-10
31.2422,-17.013,6.643062E-10
31.3037,32.2017,6.843482E-10
31.4274,64.8198,5.5478053E-09
31.5184,-9.9655,1.2318836E-10
31.6059,-11.8681,9.111878E-10
31.7149,-57.7653,1.756236E-10
31.8406,-38.9243,2.2858032E-10
31.9051,-24.0452,2.7978106E-10
31.9759,22.0462,1.7737159E-10
32.0005,9.9033,1.79508E-10
32.1028,-68.6179,2.651392E-10
32.1467,-0.7805,2.2418618E-10
32.1658,35.398,2.5424676E-10
32.339,44.8281,3.1350805E-10
32.3474,-52.4813,1.5883286E-09
32.4185,26.385,1.628572E-10
32.5042,72.4879,8.511772E-10
32.5201,25.2965,1.8720726E-10
32.641,-14.7601,1.1817321E-10
32.6933,-51.0239,4.2317665E-09
32.7838,-6.7879,2.5634062E-10
32.8094,10.8574,5.3342926E-09
32.9437,62.3378,4.0390913E-10
33.0499,53.3496,2.6035527E-09
33.0606,-2.3276,1.9410148E-10
33.0951,-25.9915,1.539272E-10
33.1282,-35.052,3.3818E-10
33.1635,-27.3751,2.0235426E-10
33.2474,22.7362,6.783505E-10
33.4687,-69.8337,1.3688786E-10
33.5924,-70.4317,2.0247609E-10
33.6121,51.7615,4.1936551E-10
33.6506,-58.3766,1.1045801E-10
33.7276,-61.7629,1.3119458E-10
33.8202,75.9189,1.8906726E-10
33.8559,-37.2928,8.9690214E-11
33.9922,3.0086,2.8357922E-10
34.0044,53.6227,1.832992E-10
34.1416,23.2301,3.2447134E-10
34.1603,-10.2632,3.587152E-10
34.2214,5.1672,2.3733243E-10
34.2353,-66.5938,6.6657596E-10
34.2593,-8.3728,3.392775E-10
34.3101,8.6176,1.4857529E-09
34.3621,73.8448,5.383938E-10
34.4634,1.7415,3.038088E-09
34.5293,42.5464,5.3210685E-09
34.7368,36.7151,6.980131E-10
34.7779,24.7322,3.2843342E-10
34.7838,-17.3992,2.960662E-10
34.7865,61.1918,7.4112644E-10
34.8725,7.4086,1.7064052E-10
35.1863,32.7786,1.2943628E-10
35.2104,-8.6848,1.0736502E-10
35.2799,35.9354,7.97305E-09
35.36,62.69,4.9139723E-09
35.3694,25.2366,2.539081E-10
35.5252,-16.2838,3.767455E-10
35.62,61.94,1.2631098E-08
35.6688,43.0353,1.6087155E-08
35.6856,50.2614,1.5018281E-10
35.7041,-34.8358,1.3614403E-10
35.7773,68.3592,4.934077E-10
35.7895,-11.2964,2.805142E-10
35.8715,54.2514,1.8750501E-10
35.8903,-9.4559,1.7113286E-10
35.8911,39.2176,2.8644317E-10
35.9624,-79.6922,3.5696288E-10
36.0055,-18.8436,2.1763906E-10
36.0439,7.0488,2.390175E-10
36.0648,16.2708,2.7316865E-10
36.2775,18.7149,2.2236961E-10
36.2812,-26.0756,6.5005623E-10
36.3585,60.4148,5.267907E-10
36.39,-55.508,1.5736065E-10
36.3911,-45.0246,1.6389307E-10
36.4675,13.1757,3.0851757E-10
36.6202,9.625,3.8857823E-10
36.6635,-18.8393,1.5469583E-10
36.6641,-44.6803,3.1895303E-10
36.675,-5.8931,2.5074573E-10
36.6777,23.2037,2.628111E-10
36.7368,77.7472,1.3392888E-10
36.8088,39.4655,2.203136E-10
36.8199,-17.6744,1.11646734E-10
36.8317,2.0184,5.9540645E-10
36.951,22.7778,2.8038316E-10
37.0164,-30.4635,1.8762003E-10
37.0405,82.1466,2.2737037E-10
37.064,-31.0296,1.3256322E-10
37.0983,-55.7872,2.7514937E-09
37.2053,67.3092,4.6089207E-10
37.3834,-36.7434,8.4275653E-10
37.5696,17.2426,2.978837E-10
37.7113,40.5374,1.0200994E-09
37.7976,-47.7887,3.110421E-10
37.812,-57.9094,2.6974484E-10
37.9916,13.376,4.5357662E-10
38.1304,-11.3231,1.1192336E-10
38.212,20.3116,2.9010808E-10
38.2499,26.1389,2.3944582E-10
38.2768,37.6804,2.1862719E-10
38.3862,6.9266,4.1073472E-10
38.4667,60.0409,4.808345E-10
38.5238,80.6941,9.3667046E-11
38.592,-6.4907,2.2237878E-10
38.8287,56.8321,8.4330987E-10
38.8379,62.6714,5.685893E-10
38.9153,-29.656,1.275209E-10
39.2123,-61.6138,1.1225326E-09
39.2891,-7.2434,6.638516E-11
39.3256,19.9891,1.5547147E-10
39.4172,9.3733,2.4566077E-10
39.4189,-36.0422,3.1116554E-10
39.4336,2.1093,1.2781462E-10
39.4535,52.6388,1.3249132E-09
39.4765,28.8037,7.760102E-09
39.5222,-39.0788,3.210486E-10
39.5745,15.5418,2.5757116E-10
39.6221,-31.2846,9.981365E-10
39.6674,16.6184,1.1696309E-08
39.7363,25.9053,1.9621064E-10
39.8699,13.383,2.1476065E-10
39.8758,66.6079,2.7864766E-10
39.9586,4.293,3.9053516E-10
40.0617,-2.8274,1.5547334E-10
40.1398,61.2254,4.9093092E-08
40.1889,-34.0282,1.5091985E-10
40.2324,-5.0878,2.354365E-10
40.3378,65.7276,9.710636E-10
40.474,-16.0625,1.7840585E-10
40.5828,52.161,3.2746542E-10
40.5921,11.0589,5.3093213E-10
40.667,-0.0069,5.511494E-10
40.7177,17.5615,2.1183942E-10
40.8189,-5.8687,1.8004864E-10
40.8572,71.3203,7.5609574E-10
40.9329,52.6237,3.3485947E-10
41.1564,-58.3281,5.2431925E-10
41.1854,13.2673,2.0954503E-10
41.2692,47.9197,1.7696195E-10
41.2993,-2.9278,2.282878E-10
41.3387,24.122,4.590722E-10
41.3543,-59.8428,1.8157417E-10
41.4485,-45.0477,7.000202E-11
41.5019,-46.8488,3.1196694E-09
41.5309,-48.6443,1.0719113E-10
41.6674,-33.8089,6.974982E-11
42.0041,22.5398,2.331534E-10
42.0804,60.3856,4.0247485E-09
42.1592,51.5356,1.1241926E-09
42.1706,42.5036,3.7880593E-10
42.4731,-82.4067,3.4201494E-10
42.6333,84.5957,4.7468535E-10
42.6555,17.2043,4.5898355E-10
42.689,56.515,5.982496E-10
42.7543,26.096,8.3760204E-10
42.7844,-18.5066,1.5959731E-10
42.8989,-59.9721,2.5001823E-10
42.9341,46.6821,2.1602253E-10
42.9819,-36.9483,9.6851666E-11
43.2032,-22.3216,4.5075303E-09
43.2679,38.5774,2.794109E-10
43.3018,-54.7107,2.8933694E-10
43.3158,-1.4,2.7415178E-10
43.3743,32.2763,4.2004783E-10
43.4921,51.0757,9.630577E-10
43.4999,59.5302,3.4330735E-10
43.9767,5.5752,2.1344329E-10
44.0942,3.5679,4.0946885E-10
44.2573,33.9685,1.4938002E-10
44.3971,70.7555,2.4787675E-10
44.5028,-12.2282,1.994024E-10
44.5158,20.5136,4.3434964E-10
44.7541,5.8791,6.918858E-10
44.8552,54.8909,2.2802317E-10
44.8557,7.7819,1.9015485E-09
44.8901,-17.0886,1.3718758E-10
45.2686,-16.8505,1.5551083E-10
45.3035,25.7771,2.1677435E-10
45.3339,-31.4379,2.0893279E-10
45.3738,-71.9257,2.713783E-10
45.4686,-56.2938,1.582797E-10
45.4945,-27.4757,2.1034645E-10
45.6177,33.9009,2.5149538E-10
45.7995,31.8125,2.30679E-10
45.8469,5.9114,8.869419E-11
45.8616,-24.1231,5.478901E-09
45.8792,-79.2327,3.1181732E-10
45.9088,47.2727,2.4051625E-09
45.9132,-52.5597,1.8148644E-10
45.9139,-62.1982,8.304258E-10
46.0996,-28.5641,1.42586E-10
46.1402,-0.9188,1.6081125E-10
46.1819,68.3517,7.5783935E-10
46.1925,65.9053,2.5076252E-10
46.2496,-6.0984,2.201087E-10
46.2925,-16.1521,2.6556482E-10
46.5652,59.8496,3.3598496E-10
